iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative,excess_mortality
AFG,Asia,Afghanistan,9/23/2021,154800,43,62.714,7199,0,2.286,3885.988,1.079,1.574,180.719,0,0.057,0.87,,,,,,,,,,,,,,,,,,3133227,,,,,72098,7.87,,,,1810,,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,
OWID_AFR,,Africa,9/23/2021,8211095,14646,12849.714,207678,462,390.857,5978.286,10.663,9.356,151.205,0.336,0.285,,,,,,,,,,,,,,,,,,,139778380,87670293,56932586,,588242,1342031,10.18,6.38,4.15,,977,,1373486472,,,,,,,,,,,,,,,,
ALB,Europe,Albania,9/23/2021,165864,768,785.571,2609,8,6.571,57733.314,267.323,273.439,908.131,2.785,2.287,1.03,,,,,,,,,,,,,,,,,,1674093,926652,747441,,8503,6922,58.27,32.25,26.02,,2409,,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,
DZA,Africa,Algeria,9/23/2021,202283,161,184.857,5748,9,13.857,4533.803,3.609,4.143,128.831,0.202,0.311,0.71,23,0.516,,,,,,,,,,,,,,,,9989662,5815039,4174623,,,248708,22.39,13.03,9.36,,5574,52.78,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,
AND,Europe,Andorra,9/23/2021,15156,3,6.143,130,0,0,195930.398,38.783,79.412,1680.585,0,0,1.14,,,,,,,,,,212987,2753.406,,158,2.043,0.04,25.1,people tested,,,,,,,,,,,,51.85,77354,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868,,
AGO,Africa,Angola,9/23/2021,53840,453,287.571,1460,26,12.714,1586.627,13.35,8.475,43.025,0.766,0.375,1.11,,,,,,,,,,,,,,,,,,2820134,1836547,983587,,,43850,8.31,5.41,2.9,,1292,56.94,33933611,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,
AIA,North America,Anguilla,9/17/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18565,9498,9067,,,12,122.74,62.8,59.95,,793,,15125,,,,,,,,,,,,,81.88,,,
ATG,North America,Antigua and Barbuda,9/23/2021,2815,190,73,63,6,2.143,28512.681,1924.479,739.405,638.117,60.773,21.705,1.49,,,,,,,,,,,,,,,,,,81915,45099,36816,,,361,82.97,45.68,37.29,,3657,,98728,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,
ARG,South America,Argentina,9/23/2021,5246998,1733,1735.286,114772,88,95.857,115051.054,38,38.05,2516.608,1.93,2.102,0.72,,,,,,,,,28935,13858968,303.886,0.634,25423,0.557,0.025,40,tests performed,50010169,29201859,20840361,,280822,296172,109.66,64.03,45.7,,6494,75.93,45605823,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,,
ARM,Asia,Armenia,9/23/2021,255648,939,617.857,5200,19,17.857,86131.056,316.361,208.164,1751.946,6.401,6.016,1.16,,,,,,,,,4025,1655479,557.752,1.356,5519,1.859,0.124,8.1,tests performed,366779,237454,129325,,,4437,12.36,8,4.36,,1495,,2968128,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,
ABW,North America,Aruba,9/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155285,80962,74323,,166,120,144.86,75.53,69.33,,1119,15.28,107195,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,
OWID_ASI,,Asia,9/23/2021,74770099,170219,174703.143,1112047,2198,2571.714,15977.676,36.374,37.332,237.634,0.47,0.55,,,,,,,,,,,,,,,,,,,4071403618,2349712149,1643791594,15338191,22463658,21327511,87,50.21,35.13,0.33,4557,,4679660580,,,,,,,,,,,,,,,,
AUS,Oceania,Australia,9/23/2021,93942,1764,1677.429,1208,12,9.571,3642.826,68.403,65.046,46.843,0.465,0.371,1.04,,,,,,,,,221985,36245879,1405.521,8.608,222541,8.63,0.008,132.3,tests performed,25782517,15598851,10183666,,337285,290085,99.98,60.49,39.49,,11249,71.76,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,
AUT,Europe,Austria,9/23/2021,730403,1707,1758.857,10943,10,10.429,80769.345,188.763,194.498,1210.098,1.106,1.153,1.05,217,23.996,644,71.215,,,,,374322,83242754,9205.141,41.393,362845,40.124,0.006,181.4,tests performed,10759454,5685519,5371741,,13401,12717,118.98,62.87,59.4,,1406,60.19,9043072,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,
AZE,Asia,Azerbaijan,9/23/2021,477587,1178,1487.714,6394,24,23.857,46715.341,115.226,145.521,625.431,2.348,2.334,1.07,,,,,,,,,13546,4778393,467.4,1.325,12616,1.234,0.148,6.8,tests performed,8169473,4668637,3500836,,62588,51891,79.91,45.67,34.24,,5076,58.33,10223344,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73,0.756,,
BHS,North America,Bahamas,9/23/2021,20288,0,70.429,512,0,6.143,51114.347,0,177.44,1289.952,0,15.477,1.06,,,,,,,,,,,,,,,,,,184431,,73901,,,1413,46.47,,18.62,,3560,54.17,396914,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,
BHR,Asia,Bahrain,9/23/2021,274614,90,81.857,1389,1,0.143,157075.322,51.479,46.821,794.488,0.572,0.082,0.95,,,,,,,,,15937,6315994,3612.659,9.116,16218,9.276,0.005,207.5,units unclear,2545834,1162821,1108896,,2017,1851,145.62,66.51,63.43,,1059,,1748295,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852,,
BGD,Asia,Bangladesh,9/23/2021,1548320,1144,1445.286,27337,24,32.571,9310.207,6.879,8.691,164.38,0.144,0.196,0.72,,,,,,,,,27431,9437037,56.746,0.165,26696,0.161,0.064,15.7,tests performed,39118015,23509860,15608155,,601579,465167,23.52,14.14,9.39,,2797,52.78,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632,,
BRB,North America,Barbados,9/23/2021,7065,161,116.714,63,1,1.286,24556.147,559.595,405.669,218.972,3.476,4.469,1.35,,,,,,,,,,,,,,,,,,228890,128969,99921,,1612,1274,79.56,44.83,34.73,,4428,56.48,287708,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,,
BLR,Europe,Belarus,9/23/2021,524248,1973,1966.714,4054,13,12.571,55517.885,208.941,208.275,429.319,1.377,1.331,1.07,,,,,,,,,18329,8238914,872.501,1.941,26008,2.754,0.075,13.3,tests performed,3389520,1877399,1512121,,,26145,35.9,19.88,16.01,,2769,19.44,9442867,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79,0.823,,
BEL,Europe,Belgium,9/23/2021,1231523,2287,2007.143,25543,10,7,105870.67,196.607,172.549,2195.862,0.86,0.602,1.09,215,18.483,709,60.951,,,434.101,37.318,22043,19559262,1681.456,1.895,47104,4.049,0.048,20.8,tests performed,16516158,8546176,8346279,31690,11269,10686,141.98,73.47,71.75,0.27,919,43.06,11632334,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,,
BLZ,North America,Belize,9/23/2021,19429,244,156.429,399,2,1.429,47982.91,602.596,386.324,985.392,4.939,3.528,1.3,,,,,,,,,,241828,597.232,,1098,2.712,0.116,8.6,tests performed,293681,185766,107915,,3712,3604,72.53,45.88,26.65,,8901,56.48,404915,16.426,25,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,
BEN,Africa,Benin,9/23/2021,21450,0,0,146,0,0,1722.749,0,0,11.726,0,0,0.55,,,,,,,,,,,,,,,,,,174104,152699,21405,,,582,1.4,1.23,0.17,,47,31.48,12451031,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,
BMU,North America,Bermuda,9/17/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86194,43549,42645,,,40,138.82,70.14,68.68,,644,47.22,62092,1308.82,,,,50669.315,,139.547,13,,,,,82.59,,,
BTN,Asia,Bhutan,9/23/2021,2599,0,0.429,3,0,0,3332.479,0,0.55,3.847,0,0,0.16,,,,,,,,,655,1132065,1451.551,0.84,1571,2.014,0,10986,samples tested,1068414,574135,494279,,,3185,136.99,73.62,63.38,,4084,,779900,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,,
BOL,South America,Bolivia,9/23/2021,498331,347,328.429,18688,7,10.286,42113.893,29.325,27.755,1579.321,0.592,0.869,0.93,,,,,,,,,4317,2387128,201.736,0.365,4945,0.418,0.066,15.1,tests performed,6443148,4202768,3083818,,24066,20355,54.45,35.52,26.06,,1720,44.91,11832936,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,
BIH,Europe,Bosnia and Herzegovina,9/23/2021,230212,852,764.286,10379,26,31.143,70542.329,261.073,234.195,3180.368,7.967,9.543,1.26,,,,,,,,,3462,1196043,366.495,1.061,3054,0.936,0.253,3.9,tests performed,,,,,,,,,,,,,3263459,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,,
BWA,Africa,Botswana,9/23/2021,176427,2639,596.429,2360,6,2.429,73595.885,1100.849,248.798,984.465,2.503,1.013,1.01,,,,,,,,,,,,,,,,,,606699,380093,226606,,,2729,25.31,15.86,9.45,,1138,39.81,2397240,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,,
BRA,South America,Brazil,9/23/2021,21308178,24611,34165.857,592964,648,531.143,99573.977,115.008,159.658,2770.945,3.028,2.482,1.56,,,,,,,,,,,,,,,,,,227164873,147908426,83816644,,2422708,1216162,106.16,69.12,39.17,,5683,51.39,213993441,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,
BRN,Asia,Brunei,9/23/2021,5586,0,130.143,31,0,1.143,12651.405,0,294.753,70.21,0,2.588,1.18,,,,,,,,,,,,,,,,,,432882,262982,169900,,,6049,98.04,59.56,38.48,,13700,79.63,441532,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,
BGR,Europe,Bulgaria,9/23/2021,489423,1835,1505.429,20350,99,67.714,70965.272,266.071,218.284,2950.706,14.355,9.818,1.15,396,57.419,4703,681.925,,,,,,4627161,670.928,,19206,2.785,0.084,11.9,tests performed,2494575,,1298936,,11441,6585,36.17,,18.83,,955,,6896655,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,,
BFA,Africa,Burkina Faso,9/23/2021,14092,16,15.429,178,2,0.857,655.53,0.744,0.718,8.28,0.093,0.04,1.19,,,,,,,,,,,,,,,,,,254545,234490,168141,,,8838,1.18,1.09,0.78,,411,13.89,21497097,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,
BDI,Africa,Burundi,9/23/2021,16356,0,309.571,38,0,0,1334.592,0,25.26,3.101,0,0,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74,12255429,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,,
KHM,Asia,Cambodia,9/23/2021,106619,638,640.429,2176,22,14,6291.526,37.648,37.791,128.405,1.298,0.826,1.07,,,,,,,,,,2289480,135.101,,,,,,tests performed,23341613,12823868,10706838,855045,241800,288538,137.74,75.67,63.18,5.05,17026,69.44,16946446,90.672,25.6,4.412,2.385,3645.07,,270.892,4,2,33.7,66.229,0.8,69.82,0.594,,
CMR,Africa,Cameroon,9/23/2021,85414,0,0,1368,0,0,3137.422,0,0,50.249,0,0,0.13,,,,,,,,,,,,,,,,,,459397,376195,83202,,,1455,1.69,1.38,0.31,,53,36.11,27224262,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,
CAN,North America,Canada,9/23/2021,1602413,4624,4312.143,27636,46,37,42093.534,121.467,113.275,725.966,1.208,0.972,1.19,749,19.675,2318,60.891,,,,,96459,42287266,1110.838,2.534,99130,2.604,0.044,22.5,tests performed,55527774,28909369,26618405,,117376,107954,145.87,75.94,69.92,,2836,68.06,38067913,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,
CPV,Africa,Cape Verde,9/23/2021,37290,50,57,333,1,0.857,66364.004,88.984,101.441,592.631,1.78,1.525,1.03,,,,,,,,,754,,,1.342,,,,,tests performed,402075,282236,119839,,,2821,71.56,50.23,21.33,,5020,59.26,561901,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,
CYM,North America,Cayman Islands,9/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105697,54796,50901,,226,199,158.95,82.4,76.55,,2993,,66498,256.496,,,,49903.029,,,13.22,,,,,83.92,,,
CAF,Africa,Central African Republic,9/23/2021,11340,0,4.429,100,0,0,2304.884,0,0.9,20.325,0,0,0.1,,,,,,,,,,,,,,,,,,150393,140492,9901,,,1482,3.06,2.86,0.2,,301,27.78,4919987,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1,53.28,0.397,,
TCD,Africa,Chad,9/23/2021,5031,1,1.429,174,0,0,297.429,0.059,0.084,10.287,0,0,0.92,,,,,,,,,,,,,,,,,,123052,98213,24839,,,3536,0.73,0.58,0.15,,209,25,16914985,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,,
CHL,South America,Chile,9/23/2021,1649409,859,512.714,37410,31,16.714,85851.443,44.711,26.687,1947.184,1.614,0.87,0.97,,,,,,,,,22863,21012184,1093.68,1.19,42765,2.226,0.011,93.4,tests performed,31192299,14849474,14068332,2837586,100950,67207,162.36,77.29,73.23,14.77,3498,63.43,19212362,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,
CHN,Asia,China,9/23/2021,96011,54,53,4636,0,0,66.48,0.037,0.037,3.21,0,0,1.23,,,,,,,,,,,,,,,,,,2190792000,1100842000,1022207000,,4209000,3587571,151.69,76.22,70.78,,2484,76.39,1444216102,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,
COL,South America,Colombia,9/23/2021,4946811,1608,1537,126032,26,35.714,96493.316,31.366,29.981,2458.401,0.507,0.697,0.91,,,,,,,,,29488,25029645,488.232,0.575,45158,0.881,0.043,23.3,tests performed,38683134,25270271,16223761,,166528,150804,75.46,49.29,31.65,,2942,51.39,51265841,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,
COM,Africa,Comoros,9/23/2021,4112,2,1.571,147,0,0,4628.254,2.251,1.769,165.456,0,0,0.83,,,,,,,,,,,,,,,,,,336863,174765,162098,,,192,37.92,19.67,18.24,,216,,888456,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,,
COG,Africa,Dem. Rep. Congo,9/23/2021,14014,0,44.714,191,0,1.143,2477.277,0,7.904,33.763,0,0.202,0.43,,,,,,,,,,,,,,,,,,329905,215561,114344,,,1525,5.83,3.81,2.02,,270,27.78,5657017,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,,
CRI,North America,Costa Rica,9/23/2021,518632,2701,2324.286,6168,40,35.571,100919.761,525.583,452.279,1200.221,7.784,6.922,1.22,,,,,,,,,7322,1812767,352.743,1.425,7044,1.371,0.262,3.8,people tested,5278407,3274461,2003946,,,58046,102.71,63.72,38.99,,11295,,5139053,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,,
CIV,Africa,Cote d'Ivoire,9/23/2021,59558,150,146.714,586,3,5.714,2201.479,5.545,5.423,21.661,0.111,0.211,0.98,,,,,,,,,4558,977401,36.128,0.168,3499,0.129,0.041,24.2,samples tested,1868955,1193877,273400,,32051,29143,6.91,4.41,1.01,,1077,17.59,27053629,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,,
HRV,Europe,Croatia,9/23/2021,396470,1373,1172.857,8554,15,11.714,97134.571,336.383,287.348,2095.717,3.675,2.87,1.27,,,572,140.139,,,441.541,108.177,10978,2751748,674.174,2.69,9589,2.349,0.122,8.2,people tested,3397030,1799370,1686909,,9015,5767,83.23,44.08,41.33,,1413,,4081657,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,,
CUB,North America,Cuba,9/23/2021,832286,6935,8023,7048,70,63.857,73539.752,612.768,708.902,622.752,6.185,5.642,1.04,,,,,,,,,,,,,,,,,,19073986,8635392,4729445,11474,321422,304384,168.54,76.3,41.79,0.1,26895,71.76,11317498,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,,
CUW,North America,Curacao,9/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186219,97531,88688,,73,156,113,59.18,53.82,,947,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,
CYP,Europe,Cyprus,9/23/2021,117759,251,180.714,551,3,2.429,132610.74,282.656,203.506,620.492,3.378,2.735,1.63,17,19.144,98,110.36,13,14.64,46,51.802,64474,12745004,14352.401,72.605,54037,60.852,0.002,436.3,tests performed,1144151,592382,546812,,2346,2309,128.85,66.71,61.58,,2600,43.52,888005,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,,
CZE,Europe,Czechia,9/23/2021,1687973,525,441.714,30448,2,3.714,157393.32,48.953,41.187,2839.093,0.186,0.346,1.2,27,2.518,155,14.453,64.183,5.985,269.77,25.154,67010,,,6.248,69431,6.474,0.006,166.7,tests performed,11756805,6061353,5924704,,9145,8401,109.63,56.52,55.24,,783,32.41,10724553,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,,
